Nationality,Popolation,codeName
United States,132000000,USA
Soviet Union,168500000,URSS
Italy,43800000,Ita
France,41700000,Fra
Japan,78000000,Jap
Germany,78000000,Ger
United Kingdom,47800000,UK
Australia,7000000,Aus
Belgium,8400000,Bel
Brazil,41500000,Bra
Canada,11600000,Can
China,530000000,Chi
Denmark,3800000	,Den
Greece,7200000,Grc
Netherlands,8700000,Nld
New Zealand,1600000,Nzl
Norway,2900000,Nor
Poland,34800000,Pol
South Africa,10300000,Zaf
Yugoslavia,15400000,Yug
Bulgaria,6300000,Bul
Hungary,9200000,Hun
Romania,19900000,Rom
